Year,Count,Average Magnitude
1700.0,1,9.0
1716.0,1,
1806.0,1,
1810.0,1,7.4
1812.0,2,7.2
1836.0,1,
1838.0,1,7.0
1851.0,2,
1852.0,1,7.0
1853.0,1,
1854.0,2,
1855.0,3,6.0
1856.0,1,5.5
1857.0,1,8.3
1858.0,1,
1859.0,1,
1861.0,1,
1862.0,1,5.9
1865.0,3,6.3
1868.0,1,6.8
1869.0,2,
1871.0,1,5.9
1872.0,1,7.8
1873.0,1,6.7
1878.0,1,
1879.0,1,
1887.0,1,7.4
1891.0,1,
1892.0,3,6.2
1898.0,2,6.5
1899.0,1,6.4
1901.0,1,6.4
1902.0,3,7.8
1906.0,2,7.7
1907.0,1,7.7
1909.0,1,
1915.0,2,6.9
1918.0,1,6.8
1921.0,1,5.2
1922.0,1,7.6
1923.0,1,7.2
1925.0,2,6.75
1927.0,2,6.55
1928.0,1,5.8
1929.0,1,7.0
1930.0,1,5.2
1932.0,1,7.2
1933.0,1,6.3
1934.0,2,6.85
1935.0,2,6.1
1938.0,1,6.3
1940.0,1,7.2
1941.0,1,6.6
1946.0,1,7.3
1947.0,1,6.4
1949.0,3,7.55
1951.0,1,
1952.0,2,6.75
1954.0,3,6.866666666666667
1955.0,1,
1959.0,1,7.7
1961.0,1,
1962.0,1,5.8
1965.0,1,6.6
1969.0,1,4.8
1970.0,1,7.5
1971.0,1,6.5
1973.0,1,5.7
1975.0,2,5.8
1978.0,1,5.6
1979.0,1,6.9
1980.0,5,6.16
1981.0,1,6.0
1983.0,2,6.75
1984.0,2,5.6
1986.0,3,6.0
1987.0,3,5.566666666666666
1989.0,1,6.9
1990.0,1,5.5
1991.0,2,5.65
1992.0,5,6.62
1993.0,2,5.8
1994.0,4,6.25
1999.0,1,7.2
2000.0,1,5.0
2001.0,3,5.7
2002.0,1,5.5
2003.0,2,5.9
2004.0,2,6.3
2005.0,2,6.4
2007.0,5,4.02
2008.0,4,5.375
2009.0,1,5.9
2010.0,3,6.5
2011.0,2,4.25
2012.0,1,7.7
2014.0,2,5.6
2019.0,2,6.75
2020.0,1,5.7
2022.0,1,6.4
